Date,Area,Population_Served,Actual_LPCD,Norm_LPCD,Wastage_LPCD
17-09-2024,POONDI,191708,148.3,135,13.3
18-09-2024,POONDI,191708,136.6,135,1.6
19-09-2024,POONDI,191708,186.3,135,51.3
20-09-2024,POONDI,191708,152.7,135,17.7
21-09-2024,POONDI,191708,113.8,135,0.0
22-09-2024,POONDI,191708,181.4,135,46.4
23-09-2024,POONDI,191708,132.3,135,0.0
24-09-2024,POONDI,191708,125.5,135,0.0
25-09-2024,POONDI,191708,187.9,135,52.9
26-09-2024,POONDI,191708,151.9,135,16.9
27-09-2024,POONDI,191708,159.0,135,24.0
28-09-2024,POONDI,191708,159.7,135,24.7
29-09-2024,POONDI,191708,140.9,135,5.9
30-09-2024,POONDI,191708,133.6,135,0.0
01-10-2024,POONDI,191708,136.8,135,1.8
02-10-2024,POONDI,191708,177.2,135,42.2
03-10-2024,POONDI,191708,149.1,135,14.1
04-10-2024,POONDI,191708,171.3,135,36.3
05-10-2024,POONDI,191708,143.5,135,8.5
06-10-2024,POONDI,191708,129.9,135,0.0
07-10-2024,POONDI,191708,116.2,135,0.0
08-10-2024,POONDI,191708,158.0,135,23.0
09-10-2024,POONDI,191708,178.9,135,43.9
10-10-2024,POONDI,191708,127.3,135,0.0
11-10-2024,POONDI,191708,155.3,135,20.3
12-10-2024,POONDI,191708,117.5,135,0.0
13-10-2024,POONDI,191708,133.9,135,0.0
14-10-2024,POONDI,191708,150.4,135,15.4
15-10-2024,POONDI,191708,110.4,135,0.0
16-10-2024,POONDI,191708,144.6,135,9.6
17-10-2024,POONDI,191708,128.3,135,0.0
18-10-2024,POONDI,191708,157.1,135,22.1
19-10-2024,POONDI,191708,141.7,135,6.7
20-10-2024,POONDI,191708,163.8,135,28.8
21-10-2024,POONDI,191708,139.4,135,4.4
22-10-2024,POONDI,191708,117.8,135,0.0
23-10-2024,POONDI,191708,115.3,135,0.0
24-10-2024,POONDI,191708,106.8,135,0.0
25-10-2024,POONDI,191708,157.7,135,22.7
26-10-2024,POONDI,191708,196.2,135,61.2
27-10-2024,POONDI,191708,153.7,135,18.7
28-10-2024,POONDI,191708,178.4,135,43.4
29-10-2024,POONDI,191708,167.7,135,32.7
30-10-2024,POONDI,191708,134.6,135,0.0
31-10-2024,POONDI,191708,170.3,135,35.3
01-11-2024,POONDI,191708,135.4,135,0.4
02-11-2024,POONDI,191708,135.8,135,0.8
03-11-2024,POONDI,191708,140.8,135,5.8
04-11-2024,POONDI,191708,141.8,135,6.8
05-11-2024,POONDI,191708,158.2,135,23.2
06-11-2024,POONDI,191708,131.6,135,0.0
07-11-2024,POONDI,191708,162.8,135,27.8
08-11-2024,POONDI,191708,162.5,135,27.5
09-11-2024,POONDI,191708,151.9,135,16.9
10-11-2024,POONDI,191708,183.8,135,48.8
11-11-2024,POONDI,191708,170.7,135,35.7
12-11-2024,POONDI,191708,166.4,135,31.4
13-11-2024,POONDI,191708,146.3,135,11.3
