Date,Area,Level_mcft
17-09-2024,POONDI,1938.08
18-09-2024,POONDI,1934.39
19-09-2024,POONDI,1934.63
20-09-2024,POONDI,1939.25
21-09-2024,POONDI,1935.08
22-09-2024,POONDI,1930.9
23-09-2024,POONDI,1935.8
24-09-2024,POONDI,1936.64
25-09-2024,POONDI,1931.29
26-09-2024,POONDI,1931.0
27-09-2024,POONDI,1925.69
28-09-2024,POONDI,1920.36
29-09-2024,POONDI,1918.57
30-09-2024,POONDI,1906.0
01-10-2024,POONDI,1912.38
02-10-2024,POONDI,1924.56
03-10-2024,POONDI,1934.5
04-10-2024,POONDI,1951.07
05-10-2024,POONDI,1961.53
06-10-2024,POONDI,1969.47
07-10-2024,POONDI,1991.8
08-10-2024,POONDI,2005.67
09-10-2024,POONDI,2021.01
10-10-2024,POONDI,2028.88
11-10-2024,POONDI,2041.16
12-10-2024,POONDI,2056.72
13-10-2024,POONDI,2065.96
14-10-2024,POONDI,2082.84
15-10-2024,POONDI,2094.84
16-10-2024,POONDI,2108.38
17-10-2024,POONDI,2120.37
18-10-2024,POONDI,2144.63
19-10-2024,POONDI,2159.56
20-10-2024,POONDI,2169.27
21-10-2024,POONDI,2188.39
22-10-2024,POONDI,2197.28
23-10-2024,POONDI,2213.33
24-10-2024,POONDI,2218.53
25-10-2024,POONDI,2226.89
26-10-2024,POONDI,2242.87
27-10-2024,POONDI,2261.56
28-10-2024,POONDI,2277.42
29-10-2024,POONDI,2291.84
30-10-2024,POONDI,2305.34
31-10-2024,POONDI,2312.95
01-11-2024,POONDI,2324.35
02-11-2024,POONDI,2337.04
03-11-2024,POONDI,2357.33
04-11-2024,POONDI,2374.05
05-11-2024,POONDI,2380.23
06-11-2024,POONDI,2396.85
07-11-2024,POONDI,2409.93
08-11-2024,POONDI,2421.54
09-11-2024,POONDI,2439.6
10-11-2024,POONDI,2459.76
11-11-2024,POONDI,2479.41
12-11-2024,POONDI,2490.22
13-11-2024,POONDI,2503.67
14-11-2024,POONDI,2520.33
15-11-2024,POONDI,2540.2
16-11-2024,POONDI,2552.81
17-11-2024,POONDI,2566.88
18-11-2024,POONDI,2576.35
19-11-2024,POONDI,2585.37
20-11-2024,POONDI,2604.43
21-11-2024,POONDI,2626.21
22-11-2024,POONDI,2640.85
23-11-2024,POONDI,2660.87
24-11-2024,POONDI,2677.68
25-11-2024,POONDI,2689.45
26-11-2024,POONDI,2706.26
27-11-2024,POONDI,2728.95
28-11-2024,POONDI,2743.77
29-11-2024,POONDI,2766.59
30-11-2024,POONDI,2768.49
01-12-2024,POONDI,2787.6
02-12-2024,POONDI,2803.04
03-12-2024,POONDI,2816.54
04-12-2024,POONDI,2832.0
05-12-2024,POONDI,2837.06
06-12-2024,POONDI,2850.97
07-12-2024,POONDI,2867.75
08-12-2024,POONDI,2890.14
09-12-2024,POONDI,2902.55
10-12-2024,POONDI,2913.51
11-12-2024,POONDI,2926.0
12-12-2024,POONDI,2945.58
13-12-2024,POONDI,2962.22
14-12-2024,POONDI,2974.57
15-12-2024,POONDI,2992.14
16-12-2024,POONDI,3007.62
17-12-2024,POONDI,3027.46
