Date,Area,Rainfall_mm
17-09-2024,POONDI,2.99
18-09-2024,POONDI,0.53
19-09-2024,POONDI,0.85
20-09-2024,POONDI,0.06
21-09-2024,POONDI,6.51
22-09-2024,POONDI,2.2
23-09-2024,POONDI,5.41
24-09-2024,POONDI,0.62
25-09-2024,POONDI,1.89
26-09-2024,POONDI,2.27
27-09-2024,POONDI,0.76
28-09-2024,POONDI,3.77
29-09-2024,POONDI,5.88
30-09-2024,POONDI,4.32
01-10-2024,POONDI,33.59
02-10-2024,POONDI,8.12
03-10-2024,POONDI,8.27
04-10-2024,POONDI,82.67
05-10-2024,POONDI,0.26
06-10-2024,POONDI,31.47
07-10-2024,POONDI,30.63
08-10-2024,POONDI,24.37
09-10-2024,POONDI,115.4
10-10-2024,POONDI,9.34
11-10-2024,POONDI,10.39
12-10-2024,POONDI,2.06
13-10-2024,POONDI,14.62
14-10-2024,POONDI,7.56
15-10-2024,POONDI,10.52
16-10-2024,POONDI,44.98
17-10-2024,POONDI,68.52
18-10-2024,POONDI,5.14
19-10-2024,POONDI,11.65
20-10-2024,POONDI,66.0
21-10-2024,POONDI,1.6
22-10-2024,POONDI,2.42
23-10-2024,POONDI,4.44
24-10-2024,POONDI,22.61
25-10-2024,POONDI,4.08
26-10-2024,POONDI,86.11
27-10-2024,POONDI,14.8
28-10-2024,POONDI,17.4
29-10-2024,POONDI,7.08
30-10-2024,POONDI,15.92
31-10-2024,POONDI,27.11
01-11-2024,POONDI,34.78
02-11-2024,POONDI,35.05
03-11-2024,POONDI,21.56
04-11-2024,POONDI,58.68
05-11-2024,POONDI,42.51
06-11-2024,POONDI,35.37
07-11-2024,POONDI,1.43
08-11-2024,POONDI,0.17
09-11-2024,POONDI,5.97
10-11-2024,POONDI,27.23
11-11-2024,POONDI,13.24
12-11-2024,POONDI,12.87
13-11-2024,POONDI,53.98
14-11-2024,POONDI,56.48
15-11-2024,POONDI,59.97
16-11-2024,POONDI,9.42
17-11-2024,POONDI,29.36
18-11-2024,POONDI,7.92
19-11-2024,POONDI,5.29
20-11-2024,POONDI,5.1
21-11-2024,POONDI,10.47
22-11-2024,POONDI,14.05
23-11-2024,POONDI,44.44
24-11-2024,POONDI,3.19
25-11-2024,POONDI,33.19
26-11-2024,POONDI,18.95
27-11-2024,POONDI,8.49
28-11-2024,POONDI,16.97
29-11-2024,POONDI,8.91
30-11-2024,POONDI,22.66
01-12-2024,POONDI,14.22
02-12-2024,POONDI,4.49
03-12-2024,POONDI,3.1
04-12-2024,POONDI,19.78
05-12-2024,POONDI,58.18
06-12-2024,POONDI,10.54
07-12-2024,POONDI,33.01
08-12-2024,POONDI,26.87
09-12-2024,POONDI,67.04
10-12-2024,POONDI,43.01
11-12-2024,POONDI,20.9
12-12-2024,POONDI,26.75
13-12-2024,POONDI,57.16
14-12-2024,POONDI,12.75
15-12-2024,POONDI,9.89
16-12-2024,POONDI,0.27
17-12-2024,POONDI,43.8
18-12-2024,POONDI,40.36
19-12-2024,POONDI,2.76
20-12-2024,POONDI,21.5
21-12-2024,POONDI,15.59
22-12-2024,POONDI,3.16
23-12-2024,POONDI,98.52
24-12-2024,POONDI,6.04
25-12-2024,POONDI,1.74
26-12-2024,POONDI,22.59
